[2025-04-14T08:22:43.796Z] 📤 VENDA | DOGEUSDT | Preço: 0.1636 | Lucro: -0.04
[2025-04-14T08:22:49.676Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1638 | Qtd: 250.00000000
[2025-04-14T08:23:39.747Z] 📤 VENDA | DOGEUSDT | Preço: 0.1637 | Lucro: -0.01
[2025-04-14T08:28:29.691Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1638 | Qtd: 250.00000000
[2025-04-14T08:32:12.695Z] 📤 VENDA | DOGEUSDT | Preço: 0.1637 | Lucro: -0.01
[2025-04-14T08:35:02.011Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1636 | Qtd: 250.00000000
[2025-04-14T08:40:23.681Z] 📤 VENDA | DOGEUSDT | Preço: 0.1641 | Lucro: 0.11
[2025-04-14T08:41:35.684Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1641 | Qtd: 250.00000000
[2025-04-14T08:48:37.725Z] 📤 VENDA | DOGEUSDT | Preço: 0.1644 | Lucro: 0.08
[2025-04-14T09:00:56.727Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1639 | Qtd: 250.00000000
[2025-04-14T09:09:37.678Z] 📤 VENDA | DOGEUSDT | Preço: 0.1643 | Lucro: 0.08
[2025-04-14T09:11:09.689Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1645 | Qtd: 250.00000000
[2025-04-14T09:18:10.692Z] 📤 VENDA | DOGEUSDT | Preço: 0.1648 | Lucro: 0.07
[2025-04-14T09:32:56.742Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1637 | Qtd: 250.00000000
[2025-04-14T09:34:47.730Z] 📤 VENDA | DOGEUSDT | Preço: 0.1636 | Lucro: -0.03
[2025-04-14T09:37:46.803Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1635 | Qtd: 250.00000000
[2025-04-14T09:38:35.663Z] 📤 VENDA | DOGEUSDT | Preço: 0.1635 | Lucro: -0.02
[2025-04-14T09:49:09.718Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1630 | Qtd: 250.00000000
[2025-04-14T10:05:55.731Z] 📤 VENDA | DOGEUSDT | Preço: 0.1638 | Lucro: 0.19
[2025-04-14T10:07:00.698Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1638 | Qtd: 250.00000000
[2025-04-14T10:07:22.668Z] 📤 VENDA | DOGEUSDT | Preço: 0.1637 | Lucro: -0.04
[2025-04-14T10:10:10.801Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1641 | Qtd: 250.00000000
[2025-04-14T10:13:55.794Z] 📤 VENDA | DOGEUSDT | Preço: 0.1639 | Lucro: -0.05
[2025-04-14T10:17:29.814Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1639 | Qtd: 250.00000000
[2025-04-14T10:26:29.692Z] 📤 VENDA | DOGEUSDT | Preço: 0.1643 | Lucro: 0.10
[2025-04-14T10:27:23.822Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1645 | Qtd: 250.00000000
[2025-04-14T10:35:21.826Z] 📤 VENDA | DOGEUSDT | Preço: 0.1646 | Lucro: 0.05
[2025-04-14T10:41:41.701Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1646 | Qtd: 250.00000000
[2025-04-14T10:49:54.733Z] 📤 VENDA | DOGEUSDT | Preço: 0.1651 | Lucro: 0.12
[2025-04-14T10:51:31.706Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1651 | Qtd: 250.00000000
[2025-04-14T11:01:54.694Z] 📤 VENDA | DOGEUSDT | Preço: 0.1656 | Lucro: 0.11
[2025-04-14T11:07:49.703Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1653 | Qtd: 250.00000000
[2025-04-14T11:07:56.671Z] 📤 VENDA | DOGEUSDT | Preço: 0.1652 | Lucro: -0.03
[2025-04-14T11:08:25.674Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1652 | Qtd: 250.00000000
[2025-04-14T11:10:44.706Z] 📤 VENDA | DOGEUSDT | Preço: 0.1652 | Lucro: -0.00
[2025-04-14T11:11:57.703Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1652 | Qtd: 250.00000000
[2025-04-14T11:22:35.704Z] 📤 VENDA | DOGEUSDT | Preço: 0.1660 | Lucro: 0.20
[2025-04-14T11:23:02.706Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1661 | Qtd: 250.00000000
[2025-04-14T11:23:44.705Z] 📤 VENDA | DOGEUSDT | Preço: 0.1660 | Lucro: -0.02
[2025-04-14T11:29:16.702Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1656 | Qtd: 250.00000000
[2025-04-14T11:36:26.693Z] 📤 VENDA | DOGEUSDT | Preço: 0.1660 | Lucro: 0.11
[2025-04-14T11:40:01.218Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T11:40:02.630Z] 📤 VENDA | DOGEUSDT | Preço: 0.1658 | Lucro: -0.01
[2025-04-14T11:44:03.705Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
[2025-04-14T11:45:29.713Z] 📤 VENDA | DOGEUSDT | Preço: 0.1657 | Lucro: -0.01
[2025-04-14T11:47:35.702Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1657 | Qtd: 250.00000000
[2025-04-14T11:53:08.699Z] 📤 VENDA | DOGEUSDT | Preço: 0.1661 | Lucro: 0.11
[2025-04-14T11:53:49.670Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1661 | Qtd: 250.00000000
[2025-04-14T11:54:05.705Z] 📤 VENDA | DOGEUSDT | Preço: 0.1660 | Lucro: -0.03
[2025-04-14T11:59:06.700Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1660 | Qtd: 250.00000000
[2025-04-14T12:00:40.690Z] 📤 VENDA | DOGEUSDT | Preço: 0.1659 | Lucro: -0.01
[2025-04-14T12:01:47.693Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1660 | Qtd: 250.00000000
[2025-04-14T12:03:05.691Z] 📤 VENDA | DOGEUSDT | Preço: 0.1660 | Lucro: -0.02
[2025-04-14T12:08:41.736Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1658 | Qtd: 250.00000000
